iter	Passed	Remaining
1162	7445	56572
1163	7450	56554
1164	7453	56524
1165	7457	56502
1166	7461	56477
1167	7466	56459
1168	7470	56436
1169	7474	56411
1170	7478	56387
1171	7482	56363
1172	7487	56341
1173	7495	56352
1174	7503	56353
1175	7512	56372
1176	7522	56393
1177	7532	56412
1178	7540	56417
1179	7550	56439
1180	7560	56458
1181	7567	56458
1182	7574	56455
1183	7582	56456
1184	7591	56471
1185	7605	56518
1186	7618	56565
1187	7631	56607
1188	7645	56656
1189	7655	56677
1190	7663	56683
1191	7670	56679
1192	7678	56683
1193	7685	56684
1194	7694	56692
1195	7701	56695
1196	7711	56713
1197	7720	56720
1198	7728	56727
1199	7732	56707
1200	7740	56706
1201	7745	56692
1202	7751	56681
1203	7757	56677
1204	7766	56683
1205	7773	56682
1206	7781	56684
1207	7788	56687
1208	7794	56678
1209	7798	56649
1210	7803	56638
1211	7810	56630
1212	7814	56610
1213	7820	56599
1214	7828	56605
1215	7837	56614
1216	7845	56619
1217	7853	56626
1218	7859	56617
1219	7865	56604
1220	7871	56596
1221	7877	56584
1222	7882	56569
1223	7886	56543
1224	7889	56518
1225	7893	56493
1226	7897	56469
1227	7903	56455
1228	7907	56430
1229	7911	56408
1230	7914	56382
1231	7918	56357
1232	7921	56324
1233	7925	56302
1234	7929	56276
1235	7933	56253
1236	7940	56249
1237	7949	56260
1238	7956	56263
1239	7964	56263
1240	7971	56263
1241	7977	56254
1242	7982	56240
1243	7988	56230
1244	7998	56248
1245	8005	56240
1246	8011	56234
1247	8014	56206
1248	8020	56196
1249	8024	56172
1250	8028	56149
1251	8033	56132
1252	8037	56108
1253	8041	56085
1254	8047	56074
1255	8051	56050
1256	8055	56026
1257	8058	56000
1258	8062	55973
1259	8066	55951
1260	8070	55928
1261	8074	55906
1262	8079	55888
1263	8082	55861
1264	8086	55837
1265	8090	55813
1266	8094	55790
1267	8098	55767
1268	8100	55734
1269	8104	55710
1270	8107	55681
1271	8111	55659
1272	8116	55639
1273	8119	55612
1274	8123	55587
1275	8127	55565
1276	8131	55543
1277	8136	55528
1278	8144	55535
1279	8152	55539
1280	8161	55548
1281	8166	55537
1282	8173	55530
1283	8179	55526
1284	8184	55511
1285	8193	55520
1286	8199	55510
1287	8203	55490
1288	8208	55471
1289	8213	55457
1290	8217	55437
1291	8222	55422
1292	8226	55396
1293	8230	55376
1294	8234	55354
1295	8237	55322
1296	8241	55301
1297	8245	55279
1298	8249	55257
1299	8253	55237
1300	8257	55212
1301	8261	55188
1302	8264	55163
1303	8268	55139
1304	8270	55107
1305	8274	55086
1306	8279	55064
1307	8282	55041
1308	8285	55013
1309	8290	54993
1310	8293	54970
1311	8297	54946
1312	8301	54924
1313	8305	54901
1314	8309	54878
1315	8313	54859
1316	8317	54835
1317	8321	54814
1318	8328	54814
1319	8337	54822
1320	8345	54829
1321	8353	54836
1322	8360	54832
1323	8365	54819
1324	8371	54809
1325	8378	54807
1326	8386	54811
1327	8394	54817
1328	8400	54806
1329	8408	54814
1330	8414	54807
1331	8420	54796
1332	8426	54790
1333	8433	54783
1334	8436	54757
1335	8440	54737
1336	8445	54724
1337	8449	54699
1338	8453	54679
1339	8461	54684
1340	8465	54663
1341	8472	54658
1342	8478	54649
1343	8483	54635
1344	8486	54611
1345	8490	54589
1346	8493	54561
1347	8497	54541
1348	8501	54519
1349	8505	54496
1350	8509	54476
1351	8513	54457
1352	8517	54434
1353	8521	54412
1354	8525	54391
1355	8529	54371
1356	8535	54364
1357	8543	54366
1358	8551	54370
1359	8558	54369
1360	8565	54368
1361	8571	54359
1362	8576	54346
1363	8580	54325
1364	8588	54332
1365	8596	54333
1366	8600	54314
1367	8607	54312
1368	8611	54293
1369	8616	54274
1370	8618	54247
1371	8624	54236
1372	8628	54216
1373	8632	54195
1374	8636	54173
1375	8639	54149
1376	8643	54127
1377	8647	54107
1378	8651	54088
1379	8655	54067
1380	8660	54050
1381	8664	54028
1382	8668	54008
1383	8672	53987
1384	8674	53960
1385	8679	53941
1386	8682	53919
1387	8686	53896
1388	8691	53879
1389	8694	53856
1390	8698	53834
1391	8702	53815
1392	8706	53795
1393	8710	53774
1394	8714	53754
1395	8718	53734
1396	8722	53716
1397	8726	53693
1398	8731	53682
1399	8740	53688
1400	8743	53666
1401	8752	53675
1402	8759	53674
1403	8765	53669
1404	8772	53666
1405	8778	53659
1406	8787	53666
1407	8795	53669
1408	8800	53658
1409	8806	53653
1410	8811	53638
1411	8815	53620
1412	8820	53601
1413	8823	53578
1414	8828	53561
1415	8836	53567
1416	8844	53574
1417	8853	53580
1418	8860	53583
1419	8866	53572
1420	8871	53557
1421	8877	53549
1422	8883	53542
1423	8887	53524
1424	8890	53500
1425	8895	53484
1426	8899	53465
1427	8903	53444
1428	8907	53425
1429	8910	53403
1430	8914	53383
1431	8919	53365
1432	8922	53343
1433	8927	53330
1434	8936	53340
1435	8945	53346
1436	8952	53347
1437	8959	53344
1438	8965	53339
1439	8971	53333
1440	8977	53323
1441	8986	53332
1442	8993	53330
1443	9000	53327
1444	9005	53316
1445	9009	53296
1446	9013	53278
1447	9017	53257
1448	9021	53237
1449	9026	53226
1450	9030	53206
1451	9035	53189
1452	9039	53172
1453	9044	53158
1454	9048	53143
1455	9052	53123
1456	9057	53109
1457	9061	53088
1458	9065	53069
1459	9069	53048
1460	9073	53029
1461	9075	53001
1462	9079	52982
1463	9083	52963
1464	9087	52945
1465	9091	52924
1466	9095	52907
1467	9099	52887
1468	9104	52872
1469	9108	52851
1470	9112	52834
1471	9116	52818
1472	9120	52797
1473	9127	52797
1474	9136	52805
1475	9144	52809
1476	9152	52814
1477	9158	52804
1478	9163	52795
1479	9166	52768
1480	9172	52762
1481	9180	52766
1482	9188	52768
1483	9192	52753
1484	9198	52746
1485	9202	52728
1486	9206	52706
1487	9210	52686
1488	9215	52677
1489	9219	52657
1490	9223	52638
1491	9227	52618
1492	9230	52597
1493	9234	52577
1494	9238	52559
1495	9242	52539
1496	9246	52519
1497	9250	52500
1498	9253	52479
1499	9257	52460
1500	9261	52439
1501	9265	52419
1502	9268	52399
1503	9272	52380
1504	9276	52360
1505	9280	52341
1506	9284	52323
1507	9288	52306
1508	9292	52285
1509	9296	52267
1510	9299	52243
1511	9303	52226
1512	9306	52201
1513	9310	52185
1514	9314	52168
1515	9318	52149
